"id","PlantID","Latitude","Longitude","Year","StationName","Distance"
"USW00004963","v0415430WIS",43.028056,-91.133333,2019,"PRAIRIE DU CHIEN AP",1.26322266392492
"USC00017304","TROY000014057",34.810277,-85.934721,1998,"SCOTTSBORO",18.680471061599
"USW00013752","4199300",38.99978,-76.48103,2010,"ANNAPOLIS US NAVAL ACADEMY ASO",1.16909614726406
"USC00200230","1476067",42.300243,-83.662835,1961,"ANN ARBOR U OF MICH",0.253878931559632
"USC00200230","1476077",42.300243,-83.662835,1961,"ANN ARBOR U OF MICH",0.253878931559632
"USC00205000","1477497",45.77694,-84.75188,1945,"MACKINAW CITY 2",1.6050556449036
"USC00204954","1479048",44.0408833,-86.5100833,2009,"LUDINGTON 4 SE",17.5674206897099
"USC00201299","1481173",43.689459,-83.496847,1995,"CARO WWTP",24.3699569286052
"USC00204078","1483575",42.900302,-85.07111,2005,"IONIA 2SSW",5.8960840897971
"USC00200864","1558722",42.55207,-85.97799,2017,"BLOOMINGDALE",18.742764393138
"USC00208800","1559326",44.314,-84.4075,1985,"W BRANCH 3SE",17.7246026073496
"USC00203947","1560174",42.4457,-84.01614,1961,"HOWELL WWTP",17.8479129339828
"USC00255090","CSCN-V-0031970",40.928248,-101.737283,1991,"MADRID",18.4778431916726
"USC00250355","CSCN-V-0003373",41.331851,-99.979324,1989,"ARNOLD",20.8644350875491
"USC00255810","CSCN-V-0003377",40.631912,-95.782436,1974,"NEBRASKA CITY 2NW",11.5032173239032
"USC00253540","CSCN-V-0003380",41.779411,-100.5304641,1987,"HALSEY 2 W",22.2124292564723
"USC00144178","CSCN-V-0003369",38.683333,-97.887222,2003,"KANOPOLIS LAKE",10.4957597728561
"USW00094918","CSCN-V-0003374",41.354652,-96.007097,1972,"OMAHA #1",1.35747169525897
"USC00256135","CSCN-V-0003376",41.9511108,-97.7252808,1986,"OAKDALE",23.5917490838401
"USC00120784","IND-0157146",39.259505,-86.339756,2020,"BLOOMINGTON INDIANA UNIV",18.2720914321167
"USC00361354","CM545928",39.9420166667,-77.9435111111,2021,"CHAMBERSBURG 1 ESE",25.938260556417
"USC00180700","PRR004962",39.04819,-76.80546,2018,"BELTSVILLE",11.0574370713839
"USC00180700","PRR004963",39.04819,-76.80546,2018,"BELTSVILLE",11.0574370713839
"USC00367029","PH00055263",41.881197,-75.35601,1953,"PLEASANT MT 1 W",17.4563525794723
"USW00094732","PH00060325",40.025731,-75.016012,2009,"NE PHILA AP",5.91662761268755
"USW00094732","PH00060326",40.025731,-75.016012,2009,"NE PHILA AP",5.91662761268755
"USC00366370","PH00060327",40.090878,-75.223367,2009,"NORRISTOWN",9.88075121051809
"USC00366370","PH00060328",40.090878,-75.223367,2009,"NORRISTOWN",9.88075121051809
"USW00054782","PH00071903",40.175864,-75.751575,2009,"HERITAGE FLD AP",18.0945573583712
"USW00054782","PH00071904",40.175864,-75.751575,2009,"HERITAGE FLD AP",18.0945573583712
"USW00054782","PH00071905",40.15186,-75.742668,2009,"HERITAGE FLD AP",18.623901638788
"USC00361080","PH00071907",40.563671,-75.185891,2009,"BUCKSVILLE",7.24701098241017
"USC00361080","PH00071908",40.494044,-75.118853,2009,"BUCKSVILLE",7.2470142382542
"USC00361080","PH00071909",40.444009,-75.111854,2009,"BUCKSVILLE",9.98900427240663
"USC00361080","PH00071910",40.488363,-75.195251,2009,"BUCKSVILLE",1.49900534611097
"USC00361080","PH00071911",40.488363,-75.195251,2009,"BUCKSVILLE",1.49900534611097
"USC00361080","PH00071912",40.457317,-75.247691,2009,"BUCKSVILLE",6.00474531959473
"USC00361080","PH00071913",40.457317,-75.247691,2009,"BUCKSVILLE",6.00474531959473
"USW00054786","PH00071914",40.31662,-75.20824,2009,"DOYLESTOWN AP",7.40121397914361
"USW00014793","PH00071919",40.247267,-75.193595,2009,"WILLOW GROVE NAS",6.42830948180049
"USW00014793","PH00071920",40.247267,-75.193595,2009,"WILLOW GROVE NAS",6.42830948180049
"USW00014793","PH00071921",40.247267,-75.193595,2009,"WILLOW GROVE NAS",6.42830948180049
"USC00128967","IND-0158842",37.829112,-87.984109,2021,"JT MYERS LOCKS & DAM",3.83999314426032
"USC00128967","IND-0158872",37.855229,-88.02281,2021,"JT MYERS LOCKS & DAM",7.15971066378669
"USC00128967","IND-0158873",37.855229,-88.02281,2021,"JT MYERS LOCKS & DAM",7.15971066378669
"USC00127125","IND-0158979",38.349033,-87.78123,2021,"PRINCETON 1 W",16.6446899162278
"CA005010640","28901",49.701,-99.097,1974,"CYPRESS RIVER",16.8194073331846
"CA005022780","32294",49.44027778,-96.98444444,1958,"STEINBACH",18.8250515378871
"CA005021054","58599",49.76666667,-97.16666667,1995,"GLENLEA",13.461109404642
"CA005023370","57659",49.07797778,-96.72455,1995,"ZHODA",24.377754068336
"CA005023222","56243",49.88333333,-97.15,1994,"WINNIPEG RICHARDSON INT'L A",7.02576365468766
"CA005023222","32293",49.76638889,-97.14722222,1950,"WINNIPEG RICHARDSON INT'L A",17.8172266692625
"CA005011680","52126",50.16722222,-98.19388889,1958,"MACDONALD A",20.5042740899183
"CA005022780","44290",49.56666667,-96.56666667,1982,"STEINBACH",14.9000308209981
"CA005023222","20174",49.836,-97.15,1951,"WINNIPEG RICHARDSON INT'L A",10.7774344222481
