"id","PlantID","Latitude","Longitude","Year","StationName","Distance"
"USW00014936","753797",43.580108,-95.743853,1887,"HURON RGNL AP",217.331749683365
"USC00210190","938553",45.388633,-93.183013,2013,"ANDOVER 1N",17.3243272228539
"USC00210190","938545",45.38985,-93.172055,2013,"ANDOVER 1N",17.8791412274265
"USC00210190","938546",45.388256,-93.177326,2013,"ANDOVER 1N",17.5129640024359
"USC00212768","708092",46.420332,-96.333183,1979,"FERGUS FALLS",21.8789554031498
"USC00472556","728959",44.550842,-92.383156,1979,"ELLSWORTH 1E",20.8284357178561
"USC00213174","369423",45.926316,-95.491987,1941,"GLENWOOD 2WNW",30.0817261194258
"USC00213962","271254",45.12722,-94.52778,1900,"HUTCHINSON 1 N",27.3504029053627
"USC00132110","174085",43.543923,-91.6707,1902,"DECORAH",28.4920504745798
"USW00014925","792126",43.8675003,-92.8486099,1985,"ROCHESTER INTL AP",28.8721233327286
"USC00473038","747256",43.623103,-91.382423,1982,"GENOA DAM 8",13.6356887563794
"USC00218227","782665",44.042035,-92.049333,1982,"THEILMAN 1SSW",28.9922804257909
"USC00219072","441939",43.97822,-92.06457,1945,"WINONA DAM 5 A",33.780157164013
"USC00217277","264223",44.052588,-91.672687,1901,"ST CHARLES",33.5161300235902
"USC00214077","937678",47.656389,-91.460556,2012,"ISABELLA 14W",15.9302830498875
"USC00216148","910089",47.6094444,-96.0797222,1994,"OKLEE",30.2471792203811
"USC00215204","792216",44.378119,-95.968102,1985,"MARSHALL",17.5397263888749
"USC00212253","532668",46.659942,-92.226304,1956,"DULUTH WB CITY",16.7585453825337
"USW00014920","681565",43.725044,-91.265964,1975,"LA CROSSE MUNI AP",17.1724255350468
"USW00014922","370642",44.674061,-93.217345,1940,"MINNEAPOLIS-ST PAUL INTL AP",23.5148866883163
"USC00219033","444835",44.123013,-95.102214,1945,"WINDOM",27.3880844324671
"USC00473038","385937",43.638172,-91.462184,1945,"GENOA DAM 8",20.1932992205207
"USC00213104","727133",47.056714,-96.417356,1979,"GEORGETOWN 1 E",27.2627939596496
"USC00215012","727112",47.187516,-96.353808,1979,"MAHNOMEN",32.3981946959331
"USC00218025","914305",44.5791667,-94.3341667,1993,"STEWART",17.2737355870057
"USC00215615","922210",45.6658333,-93.3072222,1993,"MORA",23.5434080591112
"USC00215638","174078",44.24108,-96.26172,1891,"MORRIS W CNTRL RSCH & OUTREACH",153.061774093762
"USC00218254","907684",48.1969444,-94.8097222,2008,"THORHULT",32.4799787087806
"USR0000MELY","898017",47.812337,-91.62893,2004,"ELY MINNESOTA",19.4186079631166
"USC00210075","460821",43.7155571,-93.0866699,1989,"ALBERT LEA 3SE",21.1444228846211
"USW00054936","372997",45.282397,-94.07601,1941,"ST CLOUD STATE CLG",30.0902151653093
"USC00215012","720156",47.51564,-96.31032,1979,"MAHNOMEN",33.8692634625653
"USC00213587","743909",46.8693271,-96.4734276,1980,"HAWLEY 3 NE",17.0536811160809
"USC00217460","526147",46.925498,-92.906037,1955,"SANDY LAKE DAM LIBBY",34.7205864834062
"USC00215887","448552",44.047954,-94.288549,1945,"NEW ULM 2 SE",32.3506081069217
"USC00212881","574976",45.428063,-93.203997,1960,"FOREST LAKE 5NE",26.1701645789455
"USC00216007","710029",44.274575,-93.998474,1979,"NORTH MANKATO",12.3120131179306
"USW00014924","566434",48.79262,-96.99863,1958,"PEMBINA",26.6417543377716
"USC00219046","554327",43.652162,-94.401026,1957,"WINNEBAGO",22.6041833968116
"USC00216152","922618",44.7913889,-95.2602778,1993,"OLIVIA 3E",26.2860749403841
"USC00212500","478913",45.515,-93.71028,2001,"ELK RVR",25.3035074374443
"USC00216654","478414",43.5558333,-92.3869444,1990,"PRESTON",28.2873730434412
"USC00218808","453695",43.506845,-93.65853,1999,"WELLS",27.4027427553972
"USC00131954","441095",43.536578,-92.519043,1994,"CRESCO 1 NE",38.0151065966452
"USC00448035","174033",38.665397,-78.459452,1901,"STANNARDSVILLE",37.0957046534537
"USC00305816","764562",40.565104,-74.337371,1891,"NEW YORK WB CITY",30.9393248372168
"USC00211198","699490",43.672965,-91.25917,1975,"CALEDONIA",20.1541273552411
"USC00303177","174026",42.887535,-77.281698,1893,"GENEVA EXP STN",22.9559716983817
"USC00307633","242485",40.816765,-73.06622,1915,"SETAUKET STRONG",16.0996400433174
"CA006026852","575694",48.729348,-94.598901,1961,"RAINY RIVER",5.013482136405
"USC00390296","276587",43.391517,-97.989691,1922,"ARMOUR",30.3012417999121
"USC00132689","424338",43.193619,-94.939817,1944,"EMMETSBURG",23.145771345285
"USC00135584","379360",41.348354,-95.95163,1942,"MISSOURI VALLEY 1 NNE",25.7265436516795
"USC00473979","404868",42.544567,-89.031777,1935,"JANESVILLE",13.636513433781
"USC00440765","174029",36.636399,-80.269396,1893,"BLACKSBURG",69.4738024180831
"USC00194340","525109",42.123705,-72.431473,1885,"LUDLOW CENTER",9.49840353155455
"USC00190562","643852",42.370997,-72.549243,1973,"BELCHERTOWN",19.3895168995713
"USC00478027","950418",45.694397,-91.706836,1969,"SPOONER AG RES STN",19.463575157242
"CA006136335","619040",41.65,-82.8167,1961,"PELEE ISLAND",15.6940343701066
"USC00205662","738953",43.386473,-84.835971,1949,"CENTRAL MICHIGAN UNIV",22.8055705131057
"USC00470175","524511",45.409962,-92.639651,1928,"AMERY",24.76840873578
"USC00329100","17423",46.054959,-96.602294,1912,"WAHPETON 3 N",29.8453411559302
"USC00470175","524764",45.4,-92.6333,1928,"AMERY",23.806750511137
"USC00216839","960996",44.50416,-94.8996,2016,"REDWOOD FALLS",16.6145721126671
"USC00211891","962645",47.77,-96.34,2015,"CROOKSTON NW EXP STN",21.1619909497147
"USC00210059","817678",46.688685,-93.516311,1991,"AITKIN 2E",21.4809699797734
"USC00210939","833255",46.318701,-94.548814,1992,"BRAINERD",26.2641295108529
"USC00131954","833450",43.623411,-92.219152,1991,"CRESCO 1 NE",27.9127858902447
"USC00210059","429423",46.439813,-93.525896,1991,"AITKIN 2E",14.455724113393
"USC00211691","434984",45.933896,-94.251564,1999,"COLLEGEVILLE ST JOHN'S",40.8940911325198
"USC00219173","839353",46.845996,-93.17745,1995,"WRIGHT 3 E",25.0725687450474
"USC00445096","438859",38.493667,-78.450833,2004,"LURAY 5 E",20.3381299835583
"USC00111436","EIU078004",39.316326,-87.9094,2012,"CHARLESTON",28.269323681985
"USC00478164","v0415361WIS",43.280556,-90.868611,2019,"STEUBEN 4 SE",16.4719634021978
